,bitstamp:/USD-BTC,bitstamp:/USD:/free,bitstamp:/USD:/locked,bitstamp:/USD:/total,bitstamp:/BTC:/free,bitstamp:/BTC:/locked,bitstamp:/BTC:/total,bitstamp:/BTC:/worth,net_worth,base_symbol
0,56729.69,10000.0,0.0,10000.0,0.05,0.0,0.05,2836.4845000000005,12836.4845,USD
1,56913.64,8000.0,0.0,8000.0,0.08514914,0.0,0.08514914,4846.1475002696,12846.147500269599,USD
2,56580.74,8966.32,0.0,8966.32,0.06811931,0.0,0.06811931,3854.2409680894,12820.5609680894,USD
3,56489.09,7173.06,0.0,7173.06,0.09971805,0.0,0.09971805,5632.9819010745,12806.041901074499,USD
4,56763.7,8296.28,0.0,8296.28,0.07977444,0.0,0.07977444,4528.292379828,12824.572379828001,USD
5,57420.25,6637.02,0.0,6637.02,0.10891771,0.0,0.10891771,6254.0821376275,12891.1021376275,USD
6,57131.98,6637.02,0.0,6637.02,0.10891771,0.0,0.10891771,6222.6844293658005,12859.7044293658,USD
7,57228.78,6637.02,0.0,6637.02,0.10891771,0.0,0.10891771,6233.2276636937995,12870.2476636938,USD
8,57808.45,6637.02,0.0,6637.02,0.10891771,0.0,0.10891771,6296.3639926495,12933.3839926495,USD
9,57424.73,6637.02,0.0,6637.02,0.10891771,0.0,0.10891771,6254.5700889683,12891.5900889683,USD
10,57293.3,6637.02,0.0,6637.02,0.10891771,0.0,0.10891771,6240.255034343,12877.275034343002,USD
11,57088.66,6637.02,0.0,6637.02,0.10891771,0.0,0.10891771,6217.9661141686,12854.986114168601,USD
12,57183.14,6637.02,0.0,6637.02,0.10891771,0.0,0.10891771,6228.2566594094,12865.2766594094,USD
13,56981.75,6637.02,0.0,6637.02,0.10891771,0.0,0.10891771,6206.3217217925,12843.341721792502,USD
14,56925.44,6637.02,0.0,6637.02,0.10891771,0.0,0.10891771,6200.1885655424,12837.208565542402,USD
15,56079.64,6637.02,0.0,6637.02,0.10891771,0.0,0.10891771,6108.0659664244,12745.085966424402,USD
16,56481.9,6637.02,0.0,6637.02,0.10891771,0.0,0.10891771,6151.879204449,12788.899204449,USD
17,56407.71,7863.7,0.0,7863.7,0.08713417,0.0,0.08713417,4915.0389924507,12778.7389924507,USD
18,56873.84,6290.96,0.0,6290.96,0.11493214,0.0,0.11493214,6536.632141217599,12827.5921412176,USD
19,56124.29,7594.36,0.0,7594.36,0.09194571,0.0,0.09194571,5160.3876922959,12754.7476922959,USD
20,55514.74,7594.36,0.0,7594.36,0.09194571,0.0,0.09194571,5104.3421847654,12698.7021847654,USD
21,55050.7,7594.36,0.0,7594.36,0.09194571,0.0,0.09194571,5061.675697496999,12656.035697496998,USD
22,54906.99,7594.36,0.0,7594.36,0.09194571,0.0,0.09194571,5048.4621795129,12642.8221795129,USD
23,54125.46,7594.36,0.0,7594.36,0.09194571,0.0,0.09194571,4976.6038487766,12570.963848776599,USD
24,54496.28,7594.36,0.0,7594.36,0.09194571,0.0,0.09194571,5010.6991569588,12605.0591569588,USD
25,54462.79,7594.36,0.0,7594.36,0.09194571,0.0,0.09194571,5007.6198951309,12601.979895130899,USD
26,54613.56,7594.36,0.0,7594.36,0.09194571,0.0,0.09194571,5021.4825498275995,12615.8425498276,USD
27,52889.19,7594.36,0.0,7594.36,0.09194571,0.0,0.09194571,4862.9341258749,12457.2941258749,USD
28,49386.56,7594.36,0.0,7594.36,0.09194571,0.0,0.09194571,4540.8823236576,12135.2423236576,USD
29,49765.4,6075.49,0.0,6075.49,0.1226081,0.0,0.1226081,6101.64113974,12177.131139739999,USD
30,49765.4,7292.16,0.0,7292.16,0.09808648,0.0,0.09808648,4881.312911792001,12173.472911792,USD
