,poid,step,source,target,memo,amount,free,locked,locked_poid
0,531eb122-085b-41b9-b02d-1eb9494377f3,1,bitstamp:USD/free,bitstamp:USD/locked,LOCK (LOCK FOR ORDER),2000.00 USD,8000.00 USD,2000.00 USD,2000.00 USD
1,531eb122-085b-41b9-b02d-1eb9494377f3,1,bitstamp:USD/locked,bitstamp,WITHDRAWAL (COMMISSION),6.00 USD,8000.00 USD,1994.00 USD,1994.00 USD
2,531eb122-085b-41b9-b02d-1eb9494377f3,1,bitstamp:USD/locked,bitstamp,WITHDRAWAL (FILL ORDER),1994.00 USD,8000.00 USD,0.00 USD,0.00 USD
3,531eb122-085b-41b9-b02d-1eb9494377f3,1,bitstamp,bitstamp:BTC/locked,DEPOSIT (TRADED 1994.00 USD bitstamp:USD/BTC @ 56729.69),0.03514914 BTC,0.05000000 BTC,0.03514914 BTC,0.03514914 BTC
4,531eb122-085b-41b9-b02d-1eb9494377f3,1,bitstamp:USD/locked,bitstamp:USD/free,UNLOCK USD (COMPLETED),0.00 USD,8000.00 USD,0.00 USD,0.00 USD
5,531eb122-085b-41b9-b02d-1eb9494377f3,1,bitstamp:BTC/locked,bitstamp:BTC/free,UNLOCK BTC (COMPLETED),0.03514914 BTC,0.08514914 BTC,0.00000000 BTC,0.00000000 BTC
6,aa8b365d-7f00-473d-a37c-bee31e380ab7,2,bitstamp:BTC/free,bitstamp:BTC/locked,LOCK (LOCK FOR ORDER),0.01702983 BTC,0.06811931 BTC,0.01702983 BTC,0.01702983 BTC
7,aa8b365d-7f00-473d-a37c-bee31e380ab7,2,bitstamp:BTC/locked,bitstamp,WITHDRAWAL (COMMISSION),0.00005109 BTC,0.06811931 BTC,0.01697874 BTC,0.01697874 BTC
8,aa8b365d-7f00-473d-a37c-bee31e380ab7,2,bitstamp:BTC/locked,bitstamp,WITHDRAWAL (FILL ORDER),0.01697874 BTC,0.06811931 BTC,0.00000000 BTC,0.00000000 BTC
9,aa8b365d-7f00-473d-a37c-bee31e380ab7,2,bitstamp,bitstamp:USD/locked,DEPOSIT (TRADED 0.01697874 BTC bitstamp:USD/BTC @ 56913.64),966.32 USD,8000.00 USD,966.32 USD,966.32 USD
10,aa8b365d-7f00-473d-a37c-bee31e380ab7,2,bitstamp:USD/locked,bitstamp:USD/free,UNLOCK USD (COMPLETED),966.32 USD,8966.32 USD,0.00 USD,0.00 USD
