,bitstamp:/USD-BTC,bitstamp:/USD:/free,bitstamp:/USD:/locked,bitstamp:/USD:/total,bitstamp:/BTC:/free,bitstamp:/BTC:/locked,bitstamp:/BTC:/total,bitstamp:/BTC:/worth,net_worth,base_symbol
0,19274.33,10000.0,0.0,10000.0,0.05,0.0,0.05,963.7165000000001,10963.7165,USD
1,19434.87,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,2982.3519331241996,10982.351933124199,USD
2,21365.7,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,3278.644863462,11278.644863462,USD
3,22814.24,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,3500.9286281184,11500.9286281184,USD
4,23136.14,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,3550.3253612723997,11550.3253612724,USD
5,23842.99,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,3658.7940808434,11658.7940808434,USD
6,23470.85,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,3601.687835811,11601.687835811,USD
7,22732.01,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,3488.3101336565996,11488.3101336566,USD
8,23835.1,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,3657.5833314659994,11657.583331466,USD
9,23247.71,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,3567.4461861185996,11567.4461861186,USD
10,23726.28,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,3640.8845041847994,11640.8845041848,USD
11,24705.15,8725.99,0.0,8725.99,0.12276293,0.0,0.12276293,3032.8766000895002,11758.8666000895,USD
12,26466.28,6980.79,0.0,6980.79,0.19319197,0.0,0.19319197,5113.0727717716,12093.8627717716,USD
13,26259.6,6980.79,0.0,6980.79,0.19319197,0.0,0.19319197,5073.1438554119995,12053.933855412,USD
14,27037.91,6980.79,0.0,6980.79,0.19319197,0.0,0.19319197,5223.507097582699,12204.2970975827,USD
15,27370.0,8022.36,0.0,8022.36,0.15455358,0.0,0.15455358,4230.1314846,12252.4914846,USD
16,28881.3,6417.89,0.0,6417.89,0.21299932,0.0,0.21299932,6151.697260716,12569.587260716,USD
17,28992.79,6417.89,0.0,6417.89,0.21299932,0.0,0.21299932,6175.4445549028,12593.3345549028,USD
18,29402.64,6417.89,0.0,6417.89,0.21299932,0.0,0.21299932,6262.7423262048,12680.632326204799,USD
19,32216.53,6417.89,0.0,6417.89,0.21299932,0.0,0.21299932,6862.0989827595995,13279.9889827596,USD
20,33097.83,7786.19,0.0,7786.19,0.17039946,0.0,0.17039946,5639.8523591718,13426.042359171799,USD
21,32005.88,6228.95,0.0,6228.95,0.21730797,0.0,0.21730797,6955.1328108636,13184.0828108636,USD
22,34039.05,6228.95,0.0,6228.95,0.21730797,0.0,0.21730797,7396.9568562285,13625.9068562285,USD
23,36849.94,7703.9,0.0,7703.9,0.17384638,0.0,0.17384638,6406.2286722172,14110.1286722172,USD
24,39510.49,6163.12,0.0,6163.12,0.21553329,0.0,0.21553329,8515.8258992121,14678.9458992121,USD
25,40667.07,6163.12,0.0,6163.12,0.21553329,0.0,0.21553329,8765.107391760299,14928.227391760298,USD
26,40239.06,6163.12,0.0,6163.12,0.21553329,0.0,0.21553329,8672.8569883074,14835.9769883074,USD
27,38173.73,6163.12,0.0,6163.12,0.21553329,0.0,0.21553329,8227.709618471701,14390.8296184717,USD
28,35455.58,7803.73,0.0,7803.73,0.17242663,0.0,0.17242663,6113.4861740954,13917.2161740954,USD
29,34035.02,6242.98,0.0,6242.98,0.2163145,0.0,0.2163145,7362.268333789999,13605.248333789998,USD
30,37393.49,6242.98,0.0,6242.98,0.2163145,0.0,0.2163145,8088.754092605,14331.734092604998,USD
31,39134.35,6242.98,0.0,6242.98,0.2163145,0.0,0.2163145,8465.327353075,14708.307353074999,USD
32,36756.57,7930.97,0.0,7930.97,0.1730516,0.0,0.1730516,6360.783249012,14291.753249012,USD
