,poid,step,source,target,memo,amount,free,locked,locked_poid
0,dea3f666-f514-436a-b682-22c587815c13,1,bitstamp:USD/free,bitstamp:USD/locked,LOCK (LOCK FOR ORDER),2000.00 USD,8000.00 USD,2000.00 USD,2000.00 USD
1,dea3f666-f514-436a-b682-22c587815c13,1,bitstamp:USD/locked,bitstamp,WITHDRAWAL (COMMISSION),6.00 USD,8000.00 USD,1994.00 USD,1994.00 USD
2,dea3f666-f514-436a-b682-22c587815c13,1,bitstamp:USD/locked,bitstamp,WITHDRAWAL (FILL ORDER),1994.00 USD,8000.00 USD,0.00 USD,0.00 USD
3,dea3f666-f514-436a-b682-22c587815c13,1,bitstamp,bitstamp:BTC/locked,DEPOSIT (TRADED 1994.00 USD bitstamp:USD/BTC @ 19274.33),0.10345366 BTC,0.05000000 BTC,0.10345366 BTC,0.10345366 BTC
4,dea3f666-f514-436a-b682-22c587815c13,1,bitstamp:USD/locked,bitstamp:USD/free,UNLOCK USD (COMPLETED),0.00 USD,8000.00 USD,0.00 USD,0.00 USD
5,dea3f666-f514-436a-b682-22c587815c13,1,bitstamp:BTC/locked,bitstamp:BTC/free,UNLOCK BTC (COMPLETED),0.10345366 BTC,0.15345366 BTC,0.00000000 BTC,0.00000000 BTC
6,26299f52-a7f7-4b7a-8b0b-3a6536e1cf93,11,bitstamp:BTC/free,bitstamp:BTC/locked,LOCK (LOCK FOR ORDER),0.03069073 BTC,0.12276293 BTC,0.03069073 BTC,0.03069073 BTC
7,26299f52-a7f7-4b7a-8b0b-3a6536e1cf93,11,bitstamp:BTC/locked,bitstamp,WITHDRAWAL (COMMISSION),0.00009207 BTC,0.12276293 BTC,0.03059866 BTC,0.03059866 BTC
8,26299f52-a7f7-4b7a-8b0b-3a6536e1cf93,11,bitstamp:BTC/locked,bitstamp,WITHDRAWAL (FILL ORDER),0.03059866 BTC,0.12276293 BTC,0.00000000 BTC,0.00000000 BTC
9,26299f52-a7f7-4b7a-8b0b-3a6536e1cf93,11,bitstamp,bitstamp:USD/locked,DEPOSIT (TRADED 0.03059866 BTC bitstamp:USD/BTC @ 23726.28),725.99 USD,8000.00 USD,725.99 USD,725.99 USD
