,bitstamp:/USD-BTC,bitstamp:/USD:/free,bitstamp:/USD:/locked,bitstamp:/USD:/total,bitstamp:/BTC:/free,bitstamp:/BTC:/locked,bitstamp:/BTC:/total,bitstamp:/BTC:/worth,net_worth,base_symbol
0,8740.99,10000.0,0.0,10000.0,0.05,0.0,0.05,437.0495,10437.0495,USD
1,8739.0,0.0,0.0,0.0,1.19060307,0.0,1.19060307,10404.680228730002,10404.680228730002,USD
2,8728.49,0.0,0.0,0.0,1.19060307,0.0,1.19060307,10392.1669904643,10392.1669904643,USD
3,8708.32,0.0,0.0,0.0,1.19060307,0.0,1.19060307,10368.1525265424,10368.1525265424,USD
4,8795.9,0.0,0.0,0.0,1.19060307,0.0,1.19060307,10472.425543413001,10472.425543413001,USD
5,8760.0,0.0,0.0,0.0,1.19060307,0.0,1.19060307,10429.6828932,10429.6828932,USD
6,8760.0,0.0,0.0,0.0,1.19060307,0.0,1.19060307,10429.6828932,10429.6828932,USD
7,8759.23,0.0,0.0,0.0,1.19060307,0.0,1.19060307,10428.7661288361,10428.7661288361,USD
8,8517.77,0.0,0.0,0.0,1.19060307,0.0,1.19060307,10141.283111553901,10141.283111553901,USD
9,8520.3,0.0,0.0,0.0,1.19060307,0.0,1.19060307,10144.295337321,10144.295337321,USD
10,8535.23,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
11,8546.34,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
12,8526.65,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
13,8555.6,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
14,8512.1,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
15,8492.28,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
16,8460.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
17,8474.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
18,8455.92,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
19,8326.28,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
20,8133.43,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
